lat,lng,started_at,arrived_at,delivered_at
43.459007,-80.519413,2024-07-04 12:07:36,2024-07-05 16:38:39,2024-07-05 16:51:16
43.711858,-79.526020,2024-07-04 12:07:36,2024-07-05 15:19:06,2024-07-05 15:20:18
42.360543,-82.071523,2024-07-04 12:07:37,2024-07-05 19:41:44,2024-07-05 19:42:13
43.790255,-79.438249,2024-07-05 13:42:55,2024-07-05 15:14:45,2024-07-05 15:16:26
43.641755,-79.379699,2024-07-04 12:07:37,2024-07-05 15:42:38,2024-07-05 15:44:33
43.467894,-80.552784,2024-07-04 12:07:38,2024-07-05 16:20:26,2024-07-05 16:21:08
43.475297,-80.417542,2024-07-04 12:07:38,2024-07-05 17:21:04,2024-07-05 17:29:35
43.896944,-78.58153,2024-07-04 12:07:38,2024-07-05 16:38:52,2024-07-05 16:51:31
44.0878048,-79.1912214,2024-07-04 12:07:39,2024-07-05 17:49:56,2024-07-05 17:56:02
43.7481179,-80.2812062,2024-07-04 12:07:39,2024-07-05 18:42:10,2024-07-05 18:43:03
44.240512,-76.496941,2024-07-04 12:07:40,2024-07-06 03:03:50,2024-07-06 03:46:08
43.662976,-79.436897,2024-07-04 12:08:09,2024-07-04 21:19:28,2024-07-04 21:22:21
43.667810,-79.517549,2024-07-04 12:10:10,2024-07-04 22:49:16,2024-07-04 22:49:38
43.887603,-79.427909,2024-07-04 12:11:47,2024-07-04 20:55:11,2024-07-04 20:55:47
43.899043,-79.465057,2024-07-04 12:11:48,2024-07-04 20:26:08,2024-07-04 20:26:52
43.707599,-79.644027,2024-07-04 12:11:48,2024-07-05 01:41:02,2024-07-05 01:41:28
43.716458,-79.829407,2024-07-04 12:11:48,2024-07-04 21:59:32,2024-07-04 22:00:55
43.958143,-78.953663,2024-07-04 12:11:48,2024-07-04 23:14:18,2024-07-04 23:14:36
43.7195558,-79.3250352,2024-07-04 12:11:49,2024-07-04 20:25:38,2024-07-04 20:26:58
43.72414,-79.302826,2024-07-04 12:12:34,2024-07-04 21:37:05,2024-07-04 21:38:06
43.774516,-79.412155,2024-07-04 12:14:56,2024-07-04 21:47:45,2024-07-04 21:51:48
43.849594,-79.427374,2024-07-04 12:15:28,2024-07-04 20:47:34,2024-07-04 20:48:22
43.667781,-79.389528,2024-07-04 12:17:19,2024-07-04 20:41:51,2024-07-04 20:45:14
43.819523,-79.316488,2024-07-04 12:17:43,2024-07-04 20:17:45,2024-07-04 20:18:11
43.704307,-79.346992,2024-07-04 12:18:18,2024-07-04 23:23:06,2024-07-04 23:28:45
43.761111,-79.782362,2024-07-04 12:18:24,2024-07-04 21:15:44,2024-07-04 21:16:23
43.846795,-79.095130,2024-07-04 12:18:52,2024-07-05 00:23:47,2024-07-05 00:24:33
43.705650,-79.397380,2024-07-04 12:19:50,2024-07-04 22:34:29,2024-07-04 22:36:15
43.73809,-79.30864,2024-07-04 12:19:52,2024-07-04 21:27:45,2024-07-04 21:30:10
43.649372,-79.487498,2024-07-04 12:20:27,2024-07-04 20:13:10,2024-07-04 20:13:38
43.565443,-79.755807,2024-07-04 12:20:56,2024-07-04 22:43:05,2024-07-04 22:43:48
43.800653,-79.305193,2024-07-04 12:21:29,2024-07-04 21:13:00,2024-07-04 21:14:30
43.698520,-79.404648,2024-07-04 12:22:00,2024-07-04 23:35:32,2024-07-04 23:36:31
43.876111,-79.041469,2024-07-04 12:22:36,2024-07-04 23:09:38,2024-07-04 23:10:51
44.021979,-79.446792,2024-07-04 12:23:45,2024-07-04 21:40:54,2024-07-04 21:41:37
43.654035,-79.418319,2024-07-04 12:25:41,2024-07-04 20:59:36,2024-07-04 21:01:08
43.352908,-79.829612,2024-07-04 12:27:03,2024-07-04 23:07:24,2024-07-04 23:07:55
43.714450,-79.454208,2024-07-04 12:30:57,2024-07-04 20:20:10,2024-07-04 20:25:51
43.881600,-78.919186,2024-07-04 12:31:39,2024-07-04 20:34:03,2024-07-04 20:34:25
43.793889,-79.549950,2024-07-04 12:33:26,2024-07-04 20:32:27,2024-07-04 20:38:21
43.703334,-79.445129,2024-07-04 12:35:27,2024-07-04 23:22:00,2024-07-04 23:22:27
43.705638,-79.406385,2024-07-04 15:41:11,2024-07-04 23:52:35,2024-07-04 23:53:54
43.378659,-79.798962,2024-07-04 12:37:48,2024-07-04 23:26:27,2024-07-04 23:26:53
43.705724,-79.425365,2024-07-04 12:39:30,2024-07-04 20:18:55,2024-07-04 20:23:14
43.641314,-79.400050,2024-07-04 12:41:00,2024-07-05 00:07:09,2024-07-05 00:07:46
43.361587,-79.821585,2024-07-04 12:41:40,2024-07-04 23:14:40,2024-07-04 23:15:03
43.817531,-79.403414,2024-07-04 12:41:59,2024-07-04 22:05:54,2024-07-04 22:07:29
43.894771,-79.216780,2024-07-04 12:42:56,2024-07-04 23:05:58,2024-07-04 23:07:06
43.463568,-79.710508,2024-07-04 12:43:07,2024-07-04 21:29:23,2024-07-04 21:30:03
42.979860,-81.293045,2024-07-04 12:43:11,2024-07-05 19:05:15,2024-07-05 19:06:11
43.128822,-79.268238,2024-07-04 12:43:11,2024-07-05 15:01:29,2024-07-05 15:26:04
43.001108,-81.151446,2024-07-04 12:43:11,2024-07-05 20:33:59,2024-07-05 20:34:32
43.135110,-79.110766,2024-07-04 12:43:11,2024-07-05 16:02:30,2024-07-05 16:22:55
43.460648,-80.589706,2024-07-04 12:43:12,2024-07-05 16:12:21,2024-07-05 16:12:59
44.350993,-79.709362,2024-07-04 12:43:12,2024-07-05 17:06:51,2024-07-05 17:07:47
44.359833,-79.622254,2024-07-04 12:43:12,2024-07-05 16:45:17,2024-07-05 16:46:23
44.089163,-80.212193,2024-07-04 12:43:12,2024-07-05 19:37:23,2024-07-05 19:37:58
43.5089525,-80.1948076,2024-07-04 12:43:13,2024-07-05 16:48:43,2024-07-05 16:49:13
43.4535945,-80.5031619,2024-07-04 12:43:13,2024-07-05 16:56:31,2024-07-05 16:58:31
43.549732,-79.744209,2024-07-04 12:43:14,2024-07-04 23:50:18,2024-07-04 23:52:05
43.846093,-79.394721,2024-07-04 12:45:09,2024-07-04 20:59:58,2024-07-04 21:00:54
43.670066,-79.550271,2024-07-04 12:45:21,2024-07-05 00:01:54,2024-07-05 00:02:51
43.854223,-79.086654,2024-07-04 12:45:31,2024-07-05 00:30:08,2024-07-05 00:31:12
44.012493,-79.429312,2024-07-04 12:45:47,2024-07-04 21:28:47,2024-07-04 21:30:28
43.688189,-79.811651,2024-07-04 12:45:57,2024-07-04 23:53:30,2024-07-04 23:54:59
43.858020,-79.225900,2024-07-04 12:46:34,2024-07-04 23:47:52,2024-07-04 23:48:28
43.825716,-79.288649,2024-07-04 12:46:45,2024-07-04 22:12:20,2024-07-04 22:12:57
43.720693,-79.790960,2024-07-04 12:47:24,2024-07-04 23:52:23,2024-07-04 23:53:57
43.635805,-79.732846,2024-07-04 12:47:56,2024-07-04 21:11:26,2024-07-04 21:12:07
43.426499,-79.73954,2024-07-04 12:48:31,2024-07-04 22:47:56,2024-07-04 22:49:05
43.694382,-79.796467,2024-07-04 12:49:24,2024-07-05 00:19:43,2024-07-05 00:20:44
43.6619393,-79.3838729,2024-07-04 12:50:02,2024-07-04 23:06:52,2024-07-04 23:08:07
43.916061,-79.474245,2024-07-04 12:50:04,2024-07-04 20:34:58,2024-07-04 20:36:11
43.759433,-79.332085,2024-07-04 12:50:45,2024-07-04 23:25:23,2024-07-04 23:26:18
43.860029,-79.504370,2024-07-04 12:50:48,2024-07-04 23:21:32,2024-07-04 23:23:05
43.886082,-79.400851,2024-07-04 12:51:30,2024-07-04 21:31:31,2024-07-04 21:32:24
43.604182,-79.645250,2024-07-04 12:52:03,2024-07-04 21:40:02,2024-07-04 21:49:33
43.704643,-79.296961,2024-07-04 12:52:13,2024-07-04 22:22:36,2024-07-04 22:24:10
43.664452,-79.388184,2024-07-04 12:53:18,2024-07-04 21:00:44,2024-07-04 21:01:14
43.638246,-79.444527,2024-07-04 12:54:14,2024-07-04 21:11:17,2024-07-04 21:12:23
43.807160,-79.287667,2024-07-04 12:54:37,2024-07-04 21:47:27,2024-07-04 21:48:00
43.597635,-79.660910,2024-07-04 12:55:15,2024-07-04 21:14:01,2024-07-04 21:17:32
43.483129,-79.697337,2024-07-04 12:55:33,2024-07-04 20:23:31,2024-07-04 20:26:02
43.713183,-79.419242,2024-07-04 12:56:15,2024-07-04 20:05:50,2024-07-04 20:09:24
43.875535,-79.028733,2024-07-04 12:56:50,2024-07-04 22:54:01,2024-07-04 22:55:36
45.366725,-75.715787,2024-07-04 12:56:55,2024-07-05 14:59:08,2024-07-05 15:12:32
45.472709,-76.676616,2024-07-04 12:56:55,2024-07-05 20:34:38,2024-07-05 20:37:25
44.173470,-79.356637,2024-07-04 12:56:56,2024-07-05 18:22:28,2024-07-05 18:23:17
43.215654,-79.878418,2024-07-04 12:56:56,2024-07-05 16:07:12,2024-07-05 16:08:02
43.540748,-80.269953,2024-07-04 12:56:56,2024-07-05 16:12:43,2024-07-05 16:14:50
43.169219,-79.239726,2024-07-04 12:56:57,2024-07-05 15:36:11,2024-07-05 15:46:48
44.402609,-79.713773,2024-07-04 12:56:57,2024-07-05 17:22:35,2024-07-05 17:24:24
43.782236,-80.316141,2024-07-04 12:56:57,2024-07-05 18:49:47,2024-07-05 18:50:19
